District,Latitude,Longitude,surname
Kurigram,25.810347,89.648697,North Bengal
Jamalpur,24.923025,89.950111,North Bengal
Saidpur,25.778522,88.897377,North Bengal
Rangpur,25.74486,89.275589,North Bengal
Gazipur,23.999941,90.420273,Dhaka
Narayanganj,23.622641,90.499794,Dhaka
Dhaka,23.728783,90.393791,Dhaka
Chittagong,22.3419,91.815536,South Bengal
Feni,23.015913,91.397583,South Bengal
Chuadanga,23.643999,88.855637,West Bengal
Satkhira,22.723406,89.075127,West Bengal
Jessore,23.170664,89.212418,West Bengal
